Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10032308846712111,0.10075925160178331,0.10032308846712111,0.10032308846712112,469033600,0.0,0.0
1980-12-15,0.0955253155020981,0.0955253155020981,0.0950891524553299,0.0950891524553299,175884800,0.0,0.0
1980-12-16,0.08854599333438491,0.08854599333438491,0.08810983598232269,0.08810983598232269,105728000,0.0,0.0
1980-12-17,0.09029064327478409,0.09072680649350502,0.09029064327478409,0.09029064327478409,86441600,0.0,0.0
1980-12-18,0.09290838241577148,0.09334453976894715,0.09290838241577148,0.09290838241577148,73449600,0.0,0.0
1980-12-19,0.09857846796512604,0.09901463119000072,0.09857846796512604,0.09857846796512604,48630400,0.0,0.0
1980-12-22,0.10337621718645096,0.10381316069552507,0.10337621718645096,0.10337621718645096,37363200,0.0,0.0
1980-12-23,0.10773860663175583,0.10817476981129079,0.10773860663175583,0.10773860663175583,46950400,0.0,0.0
1980-12-24,0.113408662378788,0.11384482544046608,0.113408662378788,0.113408662378788,48003200,0.0,0.0
1980-12-26,0.12387732416391374,0.12431348735871378,0.12387732416391374,0.12387732416391373,55574400,0.0,0.0
1980-12-29,0.1256219446659088,0.12605810778908183,0.1256219446659088,0.1256219446659088,93161600,0.0,0.0
1980-12-30,0.12300500477161276,0.12300500477161276,0.12256885319948196,0.12256885319948196,68880000,0.0,0.0
1980-12-31,0.11951573069973223,0.11951573069973223,0.1190795674920082,0.11907956749200821,35750400,0.0,0.0
1981-01-02,0.12038801610469818,0.12126034230738324,0.12038801610469818,0.12038801610469818,21660800,0.0,0.0
1981-01-05,0.11820722567926634,0.11820722567926634,0.11777107417583466,0.11777107417583466,35728000,0.0,0.0
1981-01-06,0.11297253394962889,0.11297253394962889,0.11253637075424194,0.11253637075424194,45158400,0.0,0.0
1981-01-07,0.10817476981129079,0.10817476981129079,0.10773860663175583,0.10773860663175583,55686400,0.0,0.0
1981-01-08,0.10599394332928787,0.10599394332928787,0.10555779188871384,0.10555779188871384,39827200,0.0,0.0
1981-01-09,0.11122789978981018,0.11166406301254557,0.11122789978981018,0.11122789978981018,21504000,0.0,0.0
1981-01-12,0.11122790812748164,0.11122790812748164,0.11035559326410295,0.11035559326410294,23699200,0.0,0.0
1981-01-13,0.10686629139413147,0.10686629139413147,0.10643012821674347,0.10643012821674347,23049600,0.0,0.0
1981-01-14,0.10686630010604857,0.10730246331899332,0.10686630010604857,0.10686630010604858,14291200,0.0,0.0
1981-01-15,0.109047070145607,0.1099193846490138,0.109047070145607,0.109047070145607,14067200,0.0,0.0
1981-01-16,0.10861096417757841,0.10861096417757841,0.10817480087280272,0.10817480087280273,13395200,0.0,0.0
1981-01-19,0.11471714824438095,0.11515331133772284,0.11471714824438095,0.11471714824438095,41574400,0.0,0.0
1981-01-20,0.11166406301254557,0.11166406301254557,0.11122789978981018,0.11122789978981018,30083200,0.0,0.0
1981-01-21,0.113408662378788,0.1142809768546674,0.113408662378788,0.113408662378788,15904000,0.0,0.0
1981-01-22,0.11471714824438095,0.11558947443106472,0.11471714824438095,0.11471714824438095,35548800,0.0,0.0
1981-01-23,0.11471714689386356,0.11515330998207067,0.11428098380565645,0.11428098380565643,11222400,0.0,0.0
1981-01-26,0.11297253394962889,0.11297253394962889,0.11253637075424194,0.11253637075424194,24640000,0.0,0.0
